Kota Adm,Jenis,Jumlah,Luas
Kep. Seribu,Taman Kota dan Taman Lingkungan,,
Kep. Seribu,Taman Interaktif,,
Kep. Seribu,Taman/Bangunan Umum,,
Kep. Seribu,Taman Rekreasi,,
Kep. Seribu,Jalur Hijau Jalan & Pedestrian,,
Kep. Seribu,Jalur Hijau Tepian Air & Penyempurna,,
Kep. Seribu,Taman Pemakaman,5,44995
Kep. Seribu,Taman Eks Refungsi SPBU,,
Jakarta Selatan,Taman Kota dan Taman Lingkungan,596,3969676
Jakarta Selatan,Taman Interaktif,20,81113
Jakarta Selatan,Taman/Bangunan Umum,4,3783
Jakarta Selatan,Taman Rekreasi,6,224315
Jakarta Selatan,Jalur Hijau Jalan & Pedestrian,26,354242
Jakarta Selatan,Jalur Hijau Tepian Air & Penyempurna,17,142422
Jakarta Selatan,Taman Pemakaman,18,503283
Jakarta Selatan,Taman Eks Refungsi SPBU,7,12277
Jakarta Timur,Taman Kota dan Taman Lingkungan,425,3660514
Jakarta Timur,Taman Interaktif,30,92609
Jakarta Timur,Taman/Bangunan Umum,5,45003
Jakarta Timur,Taman Rekreasi,,
Jakarta Timur,Jalur Hijau Jalan & Pedestrian,3,16554
Jakarta Timur,Jalur Hijau Tepian Air & Penyempurna,9,417228
Jakarta Timur,Taman Pemakaman,28,743833
Jakarta Timur,Taman Eks Refungsi SPBU,3,4123
Jakarta Pusat,Taman Kota dan Taman Lingkungan,436,4451434
Jakarta Pusat,Taman Interaktif,18,6299
Jakarta Pusat,Taman/Bangunan Umum,3,10941
Jakarta Pusat,Taman Rekreasi,,
Jakarta Pusat,Jalur Hijau Jalan & Pedestrian,53,322682
Jakarta Pusat,Jalur Hijau Tepian Air & Penyempurna,18,239065
Jakarta Pusat,Taman Pemakaman,4,379477
Jakarta Pusat,Taman Eks Refungsi SPBU,10,13022
Jakarta Barat,Taman Kota dan Taman Lingkungan,329,3527653
Jakarta Barat,Taman Interaktif,15,10295
Jakarta Barat,Taman/Bangunan Umum,1,808
Jakarta Barat,Taman Rekreasi,1,69967
Jakarta Barat,Jalur Hijau Jalan & Pedestrian,6,37121
Jakarta Barat,Jalur Hijau Tepian Air & Penyempurna,5,51426
Jakarta Barat,Taman Pemakaman,12,486989
Jakarta Barat,Taman Eks Refungsi SPBU,3,3188
Jakarta Utara,Taman Kota dan Taman Lingkungan,365,3628160
Jakarta Utara,Taman Interaktif,18,15324
Jakarta Utara,Taman/Bangunan Umum,4,25533
Jakarta Utara,Taman Rekreasi,,
Jakarta Utara,Jalur Hijau Jalan & Pedestrian,3,27090
Jakarta Utara,Jalur Hijau Tepian Air & Penyempurna,3,74506
Jakarta Utara,Taman Pemakaman,11,786960
Jakarta Utara,Taman Eks Refungsi SPBU,3,4275
